,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,75.2,overcast clouds,-21.2078,-159.775,Paradise Inn
3,Kokoda,PG,77.05,moderate rain,-8.8785,147.7407,Daito Guest House
8,Soyo,AO,81.5,overcast clouds,-6.1349,12.3689,Hotel Mpampa
9,Rikitea,PF,79.07,light rain,-23.1203,-134.9692,Pension Maro'i
10,Jacareacanga,BR,76.73,moderate rain,-6.2222,-57.7528,Casa do Ian😎
11,Cape Town,ZA,78.8,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
14,Omboue,GA,79.77,moderate rain,-1.5746,9.2618,Hotel Olako
19,Pandan,PH,75.87,overcast clouds,14.0453,124.1694,Bonifacio Lodge
24,Isla Mujeres,MX,78.8,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
26,Bintulu,MY,78.8,few clouds,3.1667,113.0333,900 Boutique INN
29,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
34,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
36,Rosario Do Sul,BR,89.22,broken clouds,-30.2583,-54.9142,Hotel Areias Brancas
48,Cukai,MY,77.0,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
49,Beira,MZ,84.0,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
51,Sao Felix Do Xingu,BR,89.2,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
53,Nouakchott,MR,93.2,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
55,Huarmey,PE,77.04,overcast clouds,-10.0681,-78.1522,Hotel Miramar
65,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
69,Hithadhoo,MV,82.89,broken clouds,-0.6,73.0833,Scoop Guest House
71,Honiara,SB,78.96,overcast clouds,-9.4333,159.95,Heritage Park Hotel
72,Cidreira,BR,85.26,scattered clouds,-30.1811,-50.2056,Hotel Castelo
