,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lensk,RU,60.7253,114.9278,-35.1,80,100,2.68,overcast clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,64.4,55,90,23.02,overcast clouds
2,Avarua,CK,-21.2078,-159.775,75.2,94,98,1.14,overcast clouds
3,Kokoda,PG,-8.8785,147.7407,77.05,65,100,6.44,moderate rain
4,Hasaki,JP,35.7333,140.8333,26.6,80,20,14.41,few clouds
5,Castro,BR,-24.7911,-50.0119,72.63,86,90,5.97,overcast clouds
6,Miguel Hidalgo,MX,19.4225,-99.2028,66.2,39,40,3.44,scattered clouds
7,Volsk,RU,52.0333,47.3833,33.69,96,100,10.13,overcast clouds
8,Soyo,AO,-6.1349,12.3689,81.5,80,98,9.73,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,79.07,74,74,10.8,light rain
10,Jacareacanga,BR,-6.2222,-57.7528,76.73,87,100,3.04,moderate rain
11,Cape Town,ZA,-33.9258,18.4232,78.8,47,20,11.5,few clouds
12,Thompson,CA,55.7435,-97.8558,10.4,92,90,2.3,light snow
13,Port Alfred,ZA,-33.5906,26.891,70.0,85,0,1.01,clear sky
14,Omboue,GA,-1.5746,9.2618,79.77,81,55,8.05,moderate rain
15,Goderich,CA,43.7501,-81.7165,26.6,68,100,8.05,overcast clouds
16,Mehamn,NO,71.0357,27.8492,26.04,97,100,22.15,light snow
17,Mitu,CO,1.1983,-70.1733,81.77,88,77,3.11,broken clouds
18,Barrow,US,71.2906,-156.7887,-7.6,77,90,9.22,overcast clouds
19,Pandan,PH,14.0453,124.1694,75.87,81,100,18.21,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,51.8,62,20,26.46,few clouds
21,Bredasdorp,ZA,-34.5322,20.0403,72.0,76,0,3.0,clear sky
22,Kapaa,US,22.0752,-159.319,71.6,88,40,17.27,moderate rain
23,Jieshi,CN,22.8134,115.8257,57.13,83,0,14.25,clear sky
24,Isla Mujeres,MX,21.2311,-86.731,78.8,53,40,16.11,scattered clouds
25,Punta Arenas,CL,-53.15,-70.9167,57.2,51,40,27.63,scattered clouds
26,Bintulu,MY,3.1667,113.0333,78.8,94,20,2.3,few clouds
27,Khatanga,RU,71.9667,102.5,-45.35,77,4,1.59,clear sky
28,Boda,CF,4.3189,17.4695,87.85,33,35,4.21,scattered clouds
29,Georgetown,MY,5.4112,100.3354,80.6,83,20,3.44,few clouds
30,Bluff,NZ,-46.6,168.3333,48.0,80,59,8.01,broken clouds
31,Mataura,NZ,-46.1927,168.8643,48.0,80,50,8.01,scattered clouds
32,Srednekolymsk,RU,67.45,153.6833,-40.7,81,65,2.17,broken clouds
33,Gorontalo,ID,0.5412,123.0595,73.85,88,79,3.6,broken clouds
34,Bambous Virieux,MU,-20.3428,57.7575,80.01,89,75,5.75,broken clouds
35,College,US,64.8569,-147.8028,-7.6,77,90,1.21,light snow
36,Rosario Do Sul,BR,-30.2583,-54.9142,89.22,53,52,4.23,broken clouds
37,Iquique,CL,-20.2208,-70.1431,73.4,56,0,16.11,clear sky
38,Jiaxing,CN,30.7522,120.75,53.01,77,97,4.0,overcast clouds
39,Havoysund,NO,70.9963,24.6622,26.6,93,75,21.85,light snow
40,Leningradskiy,RU,69.3833,178.4167,-26.91,84,82,2.08,broken clouds
41,Lompoc,US,34.6391,-120.4579,46.99,93,1,4.61,clear sky
42,Vostok,RU,46.4856,135.8833,-18.76,88,100,3.62,overcast clouds
43,Yahotyn,UA,50.2798,31.7625,26.6,93,90,10.16,mist
44,Nikolskoye,RU,59.7035,30.7861,28.4,93,75,11.18,light snow
45,Victoria,HK,22.2855,114.1577,62.01,77,1,16.87,clear sky
46,Tasiilaq,GL,65.6145,-37.6368,15.8,41,75,17.27,broken clouds
47,Busselton,AU,-33.65,115.3333,68.0,63,0,1.99,clear sky
48,Cukai,MY,4.25,103.4167,77.0,83,63,3.44,broken clouds
49,Beira,MZ,-19.8436,34.8389,84.0,83,40,11.5,scattered clouds
50,Albany,US,42.6001,-73.9662,16.0,50,0,3.0,clear sky
51,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.2,52,92,4.27,overcast clouds
52,Bafra,TR,41.5678,35.9069,53.6,26,75,4.61,broken clouds
53,Nouakchott,MR,18.0858,-15.9785,93.2,6,41,13.8,scattered clouds
54,Killybegs,IE,54.6333,-8.45,41.0,75,40,16.11,scattered clouds
55,Huarmey,PE,-10.0681,-78.1522,77.04,60,92,12.06,overcast clouds
56,Port Elizabeth,ZA,-33.918,25.5701,71.6,73,0,12.66,clear sky
57,Iskateley,RU,67.6803,53.1512,2.32,93,100,14.54,light snow
58,Dubuque,US,42.4833,-90.8668,32.0,69,90,16.11,overcast clouds
59,Ilulissat,GL,69.2167,-51.1,3.2,60,40,8.05,scattered clouds
60,Guerrero Negro,MX,27.9769,-114.0611,61.14,54,0,12.1,clear sky
61,Klaksvik,FO,62.2266,-6.589,35.6,93,75,2.3,broken clouds
62,Iqaluit,CA,63.7506,-68.5145,-9.0,64,20,19.57,snow
63,Balykshi,KZ,47.0667,51.8667,30.2,100,90,11.18,fog
64,Kaitangata,NZ,-46.2817,169.8464,45.0,91,20,3.0,few clouds
65,Ixtapa,MX,20.7,-105.2,75.2,64,1,4.61,clear sky
66,Hobart,AU,-42.8794,147.3294,53.01,82,1,4.61,clear sky
67,Hermanus,ZA,-34.4187,19.2345,72.0,76,0,3.0,clear sky
68,Qaanaaq,GL,77.484,-69.3632,-5.24,72,99,1.83,overcast clouds
69,Hithadhoo,MV,-0.6,73.0833,82.89,75,78,13.2,broken clouds
70,Chokurdakh,RU,70.6333,147.9167,-28.93,85,3,7.11,clear sky
71,Honiara,SB,-9.4333,159.95,78.96,81,99,5.46,overcast clouds
72,Cidreira,BR,-30.1811,-50.2056,85.26,67,35,8.57,scattered clouds
73,Caronport,CA,50.4501,-105.8179,10.4,85,69,11.5,broken clouds
74,Tenenkou,ML,14.4572,-4.9169,94.23,9,0,8.08,clear sky
75,Chihuahua,MX,28.5,-106.0,50.0,46,1,23.02,clear sky
76,Torbay,CA,47.6666,-52.7314,30.99,86,90,18.41,overcast clouds
77,Chimore,BO,-16.9833,-65.1333,79.05,93,89,3.62,overcast clouds
78,Sitka,US,57.0531,-135.33,37.4,60,75,6.91,broken clouds
79,Asau,RO,46.4333,26.4,41.0,70,0,6.91,clear sky
80,Itarema,BR,-2.9248,-39.9167,86.94,60,78,18.1,broken clouds
81,Penzance,GB,50.1186,-5.5371,51.8,100,75,12.66,broken clouds
82,Vaini,TO,-21.2,-175.2,73.4,94,90,4.61,light rain
83,Carnarvon,AU,-24.8667,113.6333,82.4,65,30,10.36,scattered clouds
84,Butaritari,KI,3.0707,172.7902,80.69,78,94,17.05,overcast clouds
85,Galesong,ID,-5.3166,119.3661,75.2,100,40,2.3,light rain
86,Mvomero,TZ,-6.25,38.6667,84.2,74,75,12.66,broken clouds
87,San Felipe,VE,10.3399,-68.7425,83.3,56,25,7.23,scattered clouds
88,Sabang,ID,5.8933,95.3214,81.5,73,68,17.38,broken clouds
89,Hilo,US,19.7297,-155.09,66.2,94,90,5.75,mist
90,Broken Hill,AU,-31.95,141.4333,71.6,40,81,12.66,broken clouds
91,Ponta Delgada,PT,37.7333,-25.6667,64.99,94,75,14.97,broken clouds
92,Muros,ES,42.7762,-9.0603,55.99,72,100,5.99,overcast clouds
93,Binga,ZW,-17.6203,27.3414,76.87,81,5,3.87,clear sky
94,Ambilobe,MG,-13.2,49.05,75.92,90,80,1.41,light rain
95,Esperance,AU,-33.8667,121.9,60.8,77,0,10.36,clear sky
96,Myitkyina,MM,25.3833,97.4,59.29,76,13,2.98,few clouds
97,Luderitz,NA,-26.6481,15.1594,73.74,47,0,28.3,clear sky
98,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,42,0,23.02,clear sky
99,Souillac,MU,-20.5167,57.5167,78.8,89,75,5.75,broken clouds
100,Sur,OM,22.5667,59.5289,67.6,57,0,9.82,clear sky
101,Mahibadhoo,MV,3.7833,72.9667,81.25,74,0,11.68,clear sky
102,Nanortalik,GL,60.1432,-45.2371,36.12,77,100,16.73,overcast clouds
103,Goure,NE,13.9835,10.2704,79.0,12,7,4.0,clear sky
104,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,0,4.61,light rain
105,Ambanja,MG,-13.6833,48.45,77.38,85,40,1.39,light rain
106,Bontang,ID,0.1333,117.5,75.34,90,100,7.52,overcast clouds
107,Nathdwara,IN,24.9333,73.8167,56.64,31,0,3.15,clear sky
108,Ishigaki,JP,24.3448,124.1572,66.22,57,78,14.56,broken clouds
109,Sembe,CG,1.6481,14.5806,76.39,86,98,2.82,light rain
110,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,14.97,clear sky
111,The Valley,AI,18.217,-63.0578,84.2,69,40,9.22,scattered clouds
112,Westport,US,41.1415,-73.3579,25.0,42,1,12.66,clear sky
113,Severnoye,RU,56.3491,78.3619,-12.69,86,64,8.81,broken clouds
114,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,98.38,34,36,21.03,scattered clouds
115,Mersing,MY,2.4312,103.8405,78.8,83,82,12.66,broken clouds
116,Darnah,LY,32.767,22.6367,63.19,68,0,16.28,clear sky
117,Rypin,PL,53.066,19.4094,24.01,87,100,11.5,overcast clouds
118,Poum,NC,-20.2333,164.0167,78.08,77,65,15.99,broken clouds
119,Roslavl,RU,53.9528,32.8639,21.9,98,100,7.63,overcast clouds
120,Port Lincoln,AU,-34.7333,135.8667,59.63,81,9,12.73,clear sky
121,Airai,TL,-8.9266,125.4092,61.68,100,100,5.01,light rain
122,San Cristobal,VE,7.7669,-72.225,82.4,61,40,11.5,scattered clouds
123,Lebu,CL,-37.6167,-73.65,62.31,70,4,9.33,clear sky
124,Atuona,PF,-9.8,-139.0333,78.44,77,38,17.0,light rain
125,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,20,2.1,few clouds
126,Padang,ID,-0.9492,100.3543,78.13,72,100,4.92,overcast clouds
127,Anadyr,RU,64.75,177.4833,-7.6,59,0,8.95,clear sky
128,Belaya Gora,RU,68.5333,146.4167,-34.13,84,40,3.71,scattered clouds
129,Bristol,US,41.8334,-71.1662,21.0,42,1,10.36,clear sky
130,Bull Savanna,JM,17.8868,-77.5902,79.52,62,3,10.51,clear sky
131,Tezu,IN,27.9167,96.1667,58.33,52,29,3.91,scattered clouds
132,Bathsheba,BB,13.2167,-59.5167,84.2,61,40,14.97,scattered clouds
133,Kodiak,US,57.79,-152.4072,32.0,55,1,25.32,clear sky
134,Richards Bay,ZA,-28.783,32.0377,77.79,80,85,6.76,overcast clouds
135,Scarborough,GB,54.2797,-0.4044,37.0,74,100,5.01,overcast clouds
136,Lavrentiya,RU,65.5833,-171.0,-19.25,83,0,6.73,clear sky
137,Thaton,MM,16.9206,97.3714,74.84,79,2,0.11,clear sky
138,Taoudenni,ML,22.6783,-3.9836,85.64,13,0,9.46,clear sky
139,Tarakan,ID,3.3,117.6333,77.0,94,75,3.44,broken clouds
140,Houma,US,29.5958,-90.7195,69.8,64,90,17.27,overcast clouds
141,San Quintin,MX,30.4833,-115.95,57.83,55,3,4.07,clear sky
142,Provideniya,RU,64.3833,-173.3,-11.69,83,61,6.85,broken clouds
143,Grindavik,IS,63.8424,-22.4338,26.6,74,40,20.71,scattered clouds
144,Praia,CV,14.9215,-23.5087,80.6,44,0,18.41,clear sky
145,Kavaratti,IN,10.5669,72.642,81.41,69,65,7.29,broken clouds
146,Aksarka,RU,66.5606,67.7975,-21.77,85,100,10.2,overcast clouds
147,Sambava,MG,-14.2667,50.1667,79.84,78,33,2.66,scattered clouds
148,Tilichiki,RU,60.4667,166.1,-10.55,92,100,20.09,light snow
149,Isangel,VU,-19.55,169.2667,76.17,78,7,9.28,clear sky
150,Sindor,RU,62.8629,51.8905,21.15,97,100,9.55,overcast clouds
151,Tiksi,RU,71.6872,128.8694,-26.36,86,100,5.57,overcast clouds
152,Narsaq,GL,60.9167,-46.05,41.0,30,75,35.68,broken clouds
153,Orangevale,US,38.6785,-121.2258,48.99,81,75,1.88,broken clouds
154,Roma,US,43.2128,-75.4557,15.01,67,90,4.61,overcast clouds
155,Prince Rupert,CA,54.3161,-130.3201,39.2,87,90,6.91,overcast clouds
156,Ambatondrazaka,MG,-17.8333,48.4167,69.48,88,98,6.04,moderate rain
157,Tomatlan,MX,19.9333,-105.25,91.58,25,0,4.27,clear sky
158,Kavieng,PG,-2.5744,150.7967,82.31,77,41,14.34,scattered clouds
159,East London,ZA,-33.0153,27.9116,73.4,78,40,8.05,scattered clouds
160,Sarangani,PH,5.4033,125.4636,81.54,75,100,24.07,overcast clouds
161,Saldanha,ZA,-33.0117,17.9442,67.3,81,0,13.49,clear sky
162,Ginda,IN,30.6945,78.4932,39.49,52,0,5.37,clear sky
163,Wanning,CN,18.8003,110.3967,68.2,87,38,10.07,scattered clouds
164,Pisco,PE,-13.7,-76.2167,77.0,78,0,11.5,clear sky
165,Yellowknife,CA,62.456,-114.3525,-16.01,76,40,5.75,scattered clouds
166,Tashigang,BT,27.3331,91.5542,44.04,61,18,3.13,few clouds
167,Urbana,US,40.1106,-88.2073,34.0,69,90,21.85,overcast clouds
168,Puerto Escondido,MX,15.85,-97.0667,84.2,74,1,5.75,clear sky
169,Omsukchan,RU,62.5333,155.8,-31.63,80,100,7.0,overcast clouds
170,Fez,MA,34.0372,-4.9998,57.2,88,75,10.36,broken clouds
171,Micheweni,TZ,-4.9667,39.8333,80.4,78,90,13.2,overcast clouds
172,Lagoa,PT,39.05,-27.9833,62.37,90,8,31.09,clear sky
173,Katsuura,JP,35.1333,140.3,41.0,70,20,5.75,few clouds
174,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,75,14.97,broken clouds
175,Kushiro,JP,42.975,144.3747,21.97,92,98,8.59,overcast clouds
176,Caravelas,BR,-17.7125,-39.2481,85.01,53,6,9.28,clear sky
177,Rocha,UY,-34.4833,-54.3333,84.7,38,80,15.59,broken clouds
178,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.73,58,100,5.99,overcast clouds
179,Anage,BR,-14.6122,-41.1356,89.62,39,61,6.6,broken clouds
180,Ayia Galini,GR,35.1,24.6833,62.01,71,19,1.99,few clouds
181,Igrim,RU,63.1906,64.4162,-12.78,89,100,6.62,overcast clouds
182,Aswan,EG,24.0934,32.907,61.88,31,0,10.07,clear sky
183,Talnakh,RU,69.4865,88.3972,-30.91,71,0,5.64,clear sky
184,Breves,BR,-1.6822,-50.4803,84.96,73,20,5.3,few clouds
185,Erdenet,MN,49.0333,104.0833,9.63,89,50,12.46,scattered clouds
186,Vagur,FO,61.4732,-6.8119,38.48,75,93,20.04,overcast clouds
187,Vila Velha,BR,-20.3297,-40.2925,87.8,55,20,17.27,few clouds
188,Ribeira Grande,PT,38.5167,-28.7,66.2,88,75,17.27,broken clouds
189,Faanui,PF,-16.4833,-151.75,80.44,69,70,1.86,broken clouds
190,Angouleme,FR,45.65,0.15,52.0,82,90,14.97,overcast clouds
191,Ponta Do Sol,PT,32.6667,-17.1,64.0,73,39,4.0,scattered clouds
192,Soure,BR,-0.7167,-48.5233,82.58,79,63,14.76,broken clouds
193,Caninde,BR,-4.3589,-39.3117,94.5,35,58,10.87,broken clouds
194,Yulara,AU,-25.2406,130.9889,87.8,35,90,17.27,overcast clouds
195,Jingdezhen,CN,29.2947,117.2079,49.55,65,100,2.04,overcast clouds
196,Fairbanks,US,64.8378,-147.7164,-7.6,77,90,1.39,light snow
197,Dikson,RU,73.5069,80.5464,-35.57,82,29,9.35,scattered clouds
198,Kruisfontein,ZA,-34.0033,24.7314,72.0,69,0,7.0,clear sky
199,Saskylakh,RU,71.9167,114.0833,-38.56,78,35,7.99,scattered clouds
200,Vermillion,US,42.7794,-96.9292,32.0,86,90,9.22,overcast clouds
201,Jalingo,NG,8.8833,11.3667,90.93,11,1,5.48,clear sky
202,Khani,GE,41.9563,42.9566,42.8,87,0,13.8,clear sky
203,Ruwi,OM,23.5996,58.5507,66.2,72,0,1.14,clear sky
204,Santa Cruz,BO,-17.8,-63.1667,82.02,67,93,20.89,overcast clouds
205,Upernavik,GL,72.7868,-56.1549,-9.78,86,2,7.78,clear sky
206,Bardiyah,LY,31.7561,25.0865,66.15,45,11,17.43,few clouds
207,Galle,LK,6.0367,80.217,77.56,86,100,2.44,overcast clouds
208,Mount Gambier,AU,-37.8333,140.7667,55.4,88,5,6.91,clear sky
209,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.46,66,93,10.65,overcast clouds
210,Andenes,NO,69.3143,16.1194,23.0,73,50,8.05,scattered clouds
211,New Norfolk,AU,-42.7826,147.0587,53.01,82,7,2.53,clear sky
212,Erzin,TR,36.9559,36.2,48.99,93,100,8.99,light rain
213,Khandbari,NP,27.3747,87.2039,47.14,52,1,2.93,clear sky
214,Khilok,RU,51.3674,110.4676,0.64,91,100,1.05,light snow
215,Fortuna,US,40.5982,-124.1573,51.01,71,75,23.02,broken clouds
216,Salalah,OM,17.0151,54.0924,73.4,56,20,3.44,few clouds
217,Berlevag,NO,70.8578,29.0864,25.77,96,100,23.53,light snow
218,Bijapur,IN,16.8333,75.7,72.57,37,23,2.13,few clouds
219,Quanzhou,CN,24.9139,118.5858,55.4,82,0,2.24,clear sky
220,Taltal,CL,-25.4,-70.4833,71.69,55,9,4.92,clear sky
221,Egvekinot,RU,66.3167,-179.1667,-25.55,83,0,9.62,clear sky
222,Grand Gaube,MU,-20.0064,57.6608,80.01,80,0,1.99,clear sky
223,Codrington,AU,-38.2667,141.9667,55.89,81,20,4.72,few clouds
224,Verkhnevilyuysk,RU,63.4453,120.3167,-40.36,81,100,2.21,overcast clouds
225,Constitucion,CL,-35.3333,-72.4167,63.54,88,90,2.21,overcast clouds
226,Tashtagol,RU,52.7657,87.8894,6.55,94,98,1.05,overcast clouds
227,Talaya,RU,61.3833,152.75,-28.59,81,100,6.58,overcast clouds
228,Planadas,CO,3.197,-75.6451,80.24,48,42,5.41,scattered clouds
229,Ruteng,ID,-8.6136,120.4721,63.88,100,100,4.59,overcast clouds
230,Dingle,PH,10.9995,122.6711,71.74,90,99,10.31,overcast clouds
231,Taperoa,BR,-7.2075,-36.8267,91.8,31,81,14.05,broken clouds
232,Pocone,BR,-16.2567,-56.6228,94.57,39,98,8.01,overcast clouds
233,Ranibennur,IN,14.6167,75.6167,75.02,27,30,5.37,scattered clouds
234,Severo-Kurilsk,RU,50.6789,156.125,23.54,96,100,29.64,snow
235,Margate,GB,51.3813,1.3862,39.99,90,100,4.0,overcast clouds
236,Sao Domingos,BR,-13.3983,-46.3183,87.42,39,30,6.62,scattered clouds
237,Port Victoria,KE,0.0939,33.9756,74.93,70,100,10.98,overcast clouds
238,Beringovskiy,RU,63.05,179.3167,-12.86,89,100,14.94,overcast clouds
239,Boende,CD,-0.2167,20.8667,70.75,96,100,2.26,light rain
240,Fuyu,CN,45.1833,124.8167,-13.9,87,41,6.15,scattered clouds
241,Laramie,US,41.3114,-105.5911,34.0,55,90,19.57,overcast clouds
242,Neyshabur,IR,36.2133,58.7958,49.98,48,95,3.22,overcast clouds
243,Anloga,GH,5.7947,0.8973,87.8,70,20,10.36,few clouds
244,Sabha,LY,27.0377,14.4283,59.65,34,0,4.23,clear sky
245,Salinas,US,36.6777,-121.6555,50.0,76,90,14.97,overcast clouds
246,Dutlwe,BW,-23.9833,23.9,79.9,58,96,4.61,overcast clouds
247,Eufaula,US,31.8913,-85.1455,57.0,50,1,8.05,clear sky
248,Chapais,CA,49.7834,-74.8492,-4.0,77,90,8.05,light snow
249,Ilam,NP,26.9167,87.9167,46.94,64,4,4.47,clear sky
250,Phuthaditjhaba,ZA,-28.5242,28.8158,66.2,73,80,3.11,light rain
251,Santa Maria,BR,-29.6842,-53.8069,86.0,66,75,5.75,broken clouds
252,Muyezerskiy,RU,63.9333,31.65,12.02,97,99,4.21,overcast clouds
253,Misratah,LY,32.3754,15.0925,66.11,57,0,6.76,clear sky
254,Half Moon Bay,US,37.4636,-122.4286,50.0,87,90,6.11,overcast clouds
255,Xining,CN,36.6167,101.7667,16.0,74,77,2.73,broken clouds
256,Salisbury,GB,51.0693,-1.7957,41.0,100,90,20.71,overcast clouds
257,Birao,CF,10.2849,22.7882,81.9,15,0,7.25,clear sky
258,Gao,ML,16.6362,1.637,84.16,12,1,7.65,clear sky
259,Meulaboh,ID,4.1363,96.1285,76.37,82,78,4.56,broken clouds
260,Dunedin,NZ,-45.8742,170.5036,54.0,81,25,8.01,scattered clouds
261,Clyde River,CA,70.4692,-68.5914,-20.2,76,1,5.91,clear sky
262,Kitgum,UG,3.2783,32.8867,84.65,27,90,5.53,overcast clouds
263,Wajid,SO,3.8093,43.2471,82.53,18,5,14.0,clear sky
264,Booue,GA,-0.0921,11.9385,76.8,90,90,2.39,light rain
265,Samarai,PG,-10.6167,150.6667,82.63,75,100,16.4,overcast clouds
266,Longyearbyen,SJ,78.2186,15.6401,-2.2,50,20,21.85,few clouds
267,Mulchen,CL,-37.7167,-72.2333,68.0,73,90,5.75,overcast clouds
268,Kalemie,CD,-5.9475,29.1947,73.74,77,46,2.06,scattered clouds
269,Naron,ES,43.5167,-8.1528,54.0,76,40,14.97,scattered clouds
270,Kloulklubed,PW,7.0419,134.2556,78.8,83,75,6.91,broken clouds
271,Cabuyaro,CO,4.2817,-72.794,95.29,29,4,11.97,clear sky
272,Ochakiv,UA,46.6128,31.5498,39.0,100,90,4.47,fog
273,Aban,RU,56.67,96.06,-37.89,80,66,3.87,broken clouds
274,Carballo,ES,43.213,-8.691,52.0,80,95,13.0,overcast clouds
275,Namibe,AO,-15.1961,12.1522,75.81,71,88,12.17,overcast clouds
276,Jamestown,US,42.097,-79.2353,25.0,79,90,4.9,light snow
277,Ancud,CL,-41.8697,-73.8203,66.2,48,0,6.91,clear sky
278,Sinnamary,GF,5.3833,-52.95,80.24,86,90,14.99,moderate rain
279,Tamiahua,MX,21.2667,-97.45,72.79,77,91,9.06,overcast clouds
280,Etchoropo,MX,26.7667,-109.6667,67.66,45,0,11.81,clear sky
281,Ossora,RU,59.2353,163.0719,4.15,93,100,28.39,snow
282,The Pas,CA,53.8251,-101.2541,14.0,85,90,2.3,light snow
283,Alice Springs,AU,-23.7,133.8833,86.0,32,90,14.97,overcast clouds
284,Geraldton,AU,-28.7667,114.6,82.4,39,0,11.5,clear sky
285,Tarko-Sale,RU,64.9225,77.785,-29.42,83,100,10.04,overcast clouds
286,Bengkulu,ID,-3.8004,102.2655,75.81,88,100,6.93,light rain
287,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,84.2,74,75,11.5,broken clouds
288,Broome,US,42.2506,-75.833,17.01,67,90,10.36,light snow
289,Waddan,LY,29.1614,16.139,66.18,26,0,5.64,clear sky
290,Ahipara,NZ,-35.1667,173.1667,55.22,79,0,4.94,clear sky
291,Arraial Do Cabo,BR,-22.9661,-42.0278,93.2,48,0,19.57,clear sky
292,Luganville,VU,-15.5333,167.1667,78.57,80,100,8.7,overcast clouds
293,Lotoshino,RU,56.2267,35.6414,21.56,96,100,14.34,overcast clouds
294,Constantine,DZ,36.365,6.6147,69.8,32,0,14.97,clear sky
295,Shiyan,CN,32.6475,110.7781,47.17,51,68,1.3,broken clouds
296,Nouadhibou,MR,20.931,-17.0347,87.8,19,68,12.66,broken clouds
297,Tabuk,PH,17.4189,121.4443,63.09,87,80,3.47,light rain
298,Tornio,FI,65.8481,24.1466,14.0,85,90,9.22,light snow
299,Maputo,MZ,-25.9653,32.5892,86.0,66,40,14.97,scattered clouds
300,Gerash,IR,27.6652,54.1371,64.4,36,0,4.61,clear sky
301,Tirau,NZ,-37.9833,175.75,52.0,77,0,3.44,clear sky
302,Arman,RU,59.7,150.1667,-16.58,77,11,16.24,few clouds
303,Hohoe,GH,7.1518,0.4736,91.92,36,1,3.89,clear sky
304,Slave Lake,CA,55.2834,-114.769,-7.6,84,1,9.22,mist
305,Lekoni,GA,-1.5843,14.2591,73.94,80,100,5.21,overcast clouds
306,Altamira,BR,-3.2033,-52.2064,87.8,66,75,4.61,broken clouds
307,Waingapu,ID,-9.6567,120.2641,77.52,86,100,16.98,moderate rain
308,Cherskiy,RU,68.75,161.3,-35.07,83,5,3.8,clear sky
309,Chuy,UY,-33.6971,-53.4616,84.74,48,7,11.48,clear sky
310,Poland,US,44.0606,-70.3937,16.0,44,1,14.97,clear sky
311,Mahenge,TZ,-8.6833,36.7167,66.29,100,60,1.7,broken clouds
312,Faaborg,DK,55.0951,10.2423,30.2,80,0,5.75,clear sky
313,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,80,90,20.13,snow
314,Shizunai,JP,42.3339,142.3669,25.54,90,37,12.28,light snow
315,Marsh Harbour,BS,26.5412,-77.0636,65.62,60,53,11.56,broken clouds
316,Bani,DO,18.2833,-70.3333,82.4,69,40,11.5,scattered clouds
317,Mahebourg,MU,-20.4081,57.7,78.8,89,75,5.75,broken clouds
318,Morondava,MG,-20.2833,44.2833,82.85,75,17,6.91,few clouds
319,Plettenberg Bay,ZA,-34.0527,23.3716,70.05,68,3,4.41,clear sky
320,Solec Kujawski,PL,53.0837,18.2257,30.0,74,75,9.22,broken clouds
321,Faya,SA,18.3851,42.4509,60.8,63,0,4.61,clear sky
322,Silver City,US,32.7701,-108.2803,35.6,80,1,17.27,clear sky
323,Hongjiang,CN,27.11,109.9956,48.24,86,100,1.99,overcast clouds
324,Senador Jose Porfirio,BR,-2.5908,-51.9542,84.27,72,13,3.15,few clouds
325,Urumqi,CN,43.801,87.6005,3.2,92,15,1.63,fog
326,Kosonsoy,UZ,41.2561,71.5508,42.8,28,100,4.61,overcast clouds
327,Snezhnogorsk,RU,69.1933,33.2531,17.6,86,40,6.71,light snow
328,Avera,US,33.194,-82.5271,48.2,40,1,10.36,clear sky
329,Kasempa,ZM,-13.4584,25.8338,69.84,81,98,2.13,overcast clouds
330,Chon Daen,TH,16.1895,100.8596,75.99,59,0,5.3,clear sky
331,Biak,ID,-0.9131,122.8766,76.86,72,100,4.88,overcast clouds
